idx,date,id,fatalities
24,4/25/2021,Ajristan,0
25,4/26/2021,Ajristan,0
26,4/27/2021,Ajristan,0
27,4/28/2021,Ajristan,0
28,4/29/2021,Ajristan,0
29,4/30/2021,Ajristan,0
30,5/1/2021,Ajristan,0
31,5/2/2021,Ajristan,0
32,5/3/2021,Ajristan,0
33,5/4/2021,Ajristan,0
34,5/5/2021,Ajristan,0
35,5/6/2021,Ajristan,0
36,5/7/2021,Ajristan,0
37,5/8/2021,Ajristan,0
38,5/9/2021,Ajristan,0
39,5/10/2021,Ajristan,0
40,5/11/2021,Ajristan,0
41,5/12/2021,Ajristan,0
42,5/13/2021,Ajristan,0
43,5/14/2021,Ajristan,0
44,5/15/2021,Ajristan,0
45,5/16/2021,Ajristan,0
46,5/17/2021,Ajristan,0
47,5/18/2021,Ajristan,0
48,5/19/2021,Ajristan,0
49,5/20/2021,Ajristan,0
50,5/21/2021,Ajristan,0
51,5/22/2021,Ajristan,0
52,5/23/2021,Ajristan,0
53,5/24/2021,Ajristan,0
54,5/25/2021,Ajristan,0
55,5/26/2021,Ajristan,0
56,5/27/2021,Ajristan,0
57,5/28/2021,Ajristan,0
58,5/29/2021,Ajristan,0
59,5/30/2021,Ajristan,0
60,5/31/2021,Ajristan,0
61,6/1/2021,Ajristan,0
62,6/2/2021,Ajristan,0
63,6/3/2021,Ajristan,0
64,6/4/2021,Ajristan,0
65,6/5/2021,Ajristan,0
66,6/6/2021,Ajristan,0
67,6/7/2021,Ajristan,0
68,6/8/2021,Ajristan,0
69,6/9/2021,Ajristan,0
70,6/10/2021,Ajristan,0
71,6/11/2021,Ajristan,0
72,6/12/2021,Ajristan,0
73,6/13/2021,Ajristan,0
74,6/14/2021,Ajristan,0
75,6/15/2021,Ajristan,0
76,6/16/2021,Ajristan,0
77,6/17/2021,Ajristan,0
78,6/18/2021,Ajristan,0
79,6/19/2021,Ajristan,0
80,6/20/2021,Ajristan,0
81,6/21/2021,Ajristan,0
82,6/22/2021,Ajristan,0
83,6/23/2021,Ajristan,0
84,6/24/2021,Ajristan,0
85,6/25/2021,Ajristan,0
86,6/26/2021,Ajristan,0
87,6/27/2021,Ajristan,0
88,6/28/2021,Ajristan,0
89,6/29/2021,Ajristan,0
90,6/30/2021,Ajristan,0
91,7/1/2021,Ajristan,0
92,7/2/2021,Ajristan,0
93,7/3/2021,Ajristan,0
94,7/4/2021,Ajristan,0
95,7/5/2021,Ajristan,0
96,7/6/2021,Ajristan,0
97,7/7/2021,Ajristan,0
98,7/8/2021,Ajristan,0
99,7/9/2021,Ajristan,0
100,7/10/2021,Ajristan,0
101,7/11/2021,Ajristan,0
102,7/12/2021,Ajristan,0
103,7/13/2021,Ajristan,0
104,7/14/2021,Ajristan,0
105,7/15/2021,Ajristan,0
106,7/16/2021,Ajristan,0
107,7/17/2021,Ajristan,0
108,7/18/2021,Ajristan,0
109,7/19/2021,Ajristan,0
110,7/20/2021,Ajristan,0
111,7/21/2021,Ajristan,0
112,7/22/2021,Ajristan,0
113,7/23/2021,Ajristan,0
114,7/24/2021,Ajristan,0
115,7/25/2021,Ajristan,0
116,7/26/2021,Ajristan,0
117,7/27/2021,Ajristan,0
118,7/28/2021,Ajristan,0
119,7/29/2021,Ajristan,0
120,7/30/2021,Ajristan,0
121,7/31/2021,Ajristan,0
122,8/1/2021,Ajristan,0
123,8/2/2021,Ajristan,0
124,8/3/2021,Ajristan,0
125,8/4/2021,Ajristan,0
126,8/5/2021,Ajristan,0
127,8/6/2021,Ajristan,0
128,8/7/2021,Ajristan,0
129,8/8/2021,Ajristan,0
130,8/9/2021,Ajristan,0
131,8/10/2021,Ajristan,0
132,8/11/2021,Ajristan,0
133,8/12/2021,Ajristan,0
134,8/13/2021,Ajristan,0
135,8/14/2021,Ajristan,0
136,8/15/2021,Ajristan,0
137,8/16/2021,Ajristan,0
138,8/17/2021,Ajristan,0
139,8/18/2021,Ajristan,0
140,8/19/2021,Ajristan,0
141,8/20/2021,Ajristan,0
142,8/21/2021,Ajristan,0
143,8/22/2021,Ajristan,0
144,8/23/2021,Ajristan,0
145,8/24/2021,Ajristan,0
146,8/25/2021,Ajristan,0
147,8/26/2021,Ajristan,0
148,8/27/2021,Ajristan,0
149,8/28/2021,Ajristan,0
150,8/29/2021,Ajristan,0
151,8/30/2021,Ajristan,0
152,8/31/2021,Ajristan,0
0,4/1/2021,Alasay,0
1,4/2/2021,Alasay,0
2,4/3/2021,Alasay,0
3,4/4/2021,Alasay,0
4,4/5/2021,Alasay,0
5,4/6/2021,Alasay,0
6,4/7/2021,Alasay,0
7,4/8/2021,Alasay,0
8,4/9/2021,Alasay,0
9,4/10/2021,Alasay,0
10,4/11/2021,Alasay,0
11,4/12/2021,Alasay,0
12,4/13/2021,Alasay,0
13,4/14/2021,Alasay,0
14,4/15/2021,Alasay,0
15,4/16/2021,Alasay,0
16,4/17/2021,Alasay,0
17,4/18/2021,Alasay,0
18,4/19/2021,Alasay,0
19,4/20/2021,Alasay,0
20,4/21/2021,Alasay,0
21,4/22/2021,Alasay,0
22,4/23/2021,Alasay,0
23,4/24/2021,Alasay,0
24,4/25/2021,Alasay,0
25,4/26/2021,Alasay,0
26,4/27/2021,Alasay,0
27,4/28/2021,Alasay,0
28,4/29/2021,Alasay,0
29,4/30/2021,Alasay,0
30,5/1/2021,Alasay,0
31,5/2/2021,Alasay,0
32,5/3/2021,Alasay,0
33,5/4/2021,Alasay,0
34,5/5/2021,Alasay,0
35,5/6/2021,Alasay,0
36,5/7/2021,Alasay,0
37,5/8/2021,Alasay,0
38,5/9/2021,Alasay,0
39,5/10/2021,Alasay,0
40,5/11/2021,Alasay,0
41,5/12/2021,Alasay,0
42,5/13/2021,Alasay,0
43,5/14/2021,Alasay,0
44,5/15/2021,Alasay,0
45,5/16/2021,Alasay,0
46,5/17/2021,Alasay,0
47,5/18/2021,Alasay,0
48,5/19/2021,Alasay,0
49,5/20/2021,Alasay,0
50,5/21/2021,Alasay,0
51,5/22/2021,Alasay,0
52,5/23/2021,Alasay,0
53,5/24/2021,Alasay,0
54,5/25/2021,Alasay,0
55,5/26/2021,Alasay,0
56,5/27/2021,Alasay,0
57,5/28/2021,Alasay,0
