countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,995,MULTI-SECTOR,122248551,50711601,41
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,996,NUTRITION,49740332,25645009,52
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,997,PROTECTION,16050444,12601794,79
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,998,"WATER,SANITATION AND HYGIENE",26426092,15154074,57
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,,Not specified,,5944877,
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,,Multiple clusters/sectors (shared),,0,
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,855,COMMON SERVICES,21117110,16490576,78
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,865,COORDINATION,13203271,14172587,107
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,856,EDUCATION,6646083,4590738,69
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,857,EMERGENCY SHELTER,34939026,7402569,21
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,858,EMERGENCY TELECOMMUNICATIONS,510000,,
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,859,FOOD SECURITY AND AGRICULTURE,330337502,258138303,78
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,860,HEALTH,12299239,14129133,115
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,861,MULTI-SECTOR,90130706,31479038,35
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,862,NUTRITION,45974398,31251364,68
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,863,PROTECTION,8614888,6217881,72
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,864,"WATER,SANITATION AND HYGIENE",18546404,13023300,70
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,,Not specified,,29632614,
AFG,354,Afghanistan 2011,CAFG11,2011-01-01,2011-12-31,2011,,Multiple clusters/sectors (shared),,0,
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,736,COMMON SERVICES,27064925,22859926,84
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,737,EDUCATION ,33144241,621911,2
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,738,EMERGENCY SHELTER,50802560,31890043,63
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,740,FOOD SECURITY AND AGRICULTURE ,368691762,276658180,75
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,741,HEALTH,12702186,6236306,49
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,742,MULTI-SECTOR ,79714395,47842527,60
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,744,NUTRITION,8669571,6263336,72
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,745,PROTECTION,154274534,102737057,67
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,746,"WATER, SANITATION AND HYGIENE",39444136,7983666,20
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,,Not specified,,2206951,
AFG,325,Afghanistan Humanitarian Action Plan 2010,CAFG10,2010-01-01,2010-12-31,2010,,Multiple clusters/sectors (shared),,0,
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,602,Common Services ,30181446,35062614,116
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,594,Education,17394371,27715522,159
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,595,Emergency Shelter,36141262,25472179,70
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,596,Emergency Telecommunications,330167,330167,100
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,597,Food Security and Agriculture,352502935,343597498,97
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,598,Health,37176839,1905356,5
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,605,Multi-Sector,42106632,27927321,66
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,603,Not Yet SpecifIied,,38846946,
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,599,Nutrition,6769364,1271380,19
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,600,Protection,119457702,32352913,27
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,601,"Water, Sanitation and Hygiene",22862337,9305892,41
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,,Not specified,,-36063952,
AFG,307,Afghanistan Humanitarian Action Plan 2009,CAFG09,2009-01-01,2009-12-31,2009,,Multiple clusters/sectors (shared),,0,
AFG,272,Afghanistan Joint Appeal 2008: Humanitarian Consequences of Rise in Food Prices (February - June 2008),OAFG08,2008-02-01,2008-06-30,2008,,Not specified,,75038024,
AFG,272,Afghanistan Joint Appeal 2008: Humanitarian Consequences of Rise in Food Prices (February - June 2008),OAFG08,2008-02-01,2008-06-30,2008,,Multiple clusters/sectors (shared),,0,
AFG,283,Afghanistan Joint Emergency Appeal 2008: High Food Price and Drought Crisis (July 2008 - June 2009),OAFG0809,2008-07-01,2009-06-30,2008,2133,AGRICULTURAL RECOVERY ,176707600,57152879,32
AFG,283,Afghanistan Joint Emergency Appeal 2008: High Food Price and Drought Crisis (July 2008 - June 2009),OAFG0809,2008-07-01,2009-06-30,2008,2128,FOOD SECURITY,203055924,136627075,67
AFG,283,Afghanistan Joint Emergency Appeal 2008: High Food Price and Drought Crisis (July 2008 - June 2009),OAFG0809,2008-07-01,2009-06-30,2008,2132,HEALTH,8090000,1195425,15
AFG,283,Afghanistan Joint Emergency Appeal 2008: High Food Price and Drought Crisis (July 2008 - June 2009),OAFG0809,2008-07-01,2009-06-30,2008,2129,NUTRITION,2875340,447795,16
AFG,283,Afghanistan Joint Emergency Appeal 2008: High Food Price and Drought Crisis (July 2008 - June 2009),OAFG0809,2008-07-01,2009-06-30,2008,2134,PROTECTION,502900,,
